"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@4b57e8f";"373";"El Parque";"Puertochico";"350";"2014-04-14 12:20:01";"432717.21";"4813921.08";"http://datos.santander.es/api/datos/paradas_bus/350";"Corbanera";"43.47330102503983";"-3.8331976088274633"
"oracle.sql.BLOB@2787e0b3";"374";"San Pedro Del Mar 91";"Puertochico";"351";"2014-04-14 12:20:01";"432853";"4813941";"http://datos.santander.es/api/datos/paradas_bus/351";"San Pedro Del Mar. 91";"43.473492583313444";"-3.8315213360635303"
"oracle.sql.BLOB@49b11c0b";"375";"Barrio Bolado 23";"Puertochico";"352";"2014-04-14 12:20:01";"433094";"4813931";"http://datos.santander.es/api/datos/paradas_bus/352";"Bº Bolado. 23";"43.4734241605481";"-3.8285406867980085"
"oracle.sql.BLOB@aa83bf9";"376";"Barrio Bolado 37";"Puertochico";"353";"2014-04-14 12:20:01";"433240.1";"4813984.44";"http://datos.santander.es/api/datos/paradas_bus/353";"Bº Bolado. 37";"43.473918365501866";"-3.8267410457313655"
"oracle.sql.BLOB@2af95de6";"377";"Barrio Bolado 58";"Puertochico";"354";"2014-04-14 12:20:01";"433339.3";"4814054";"http://datos.santander.es/api/datos/paradas_bus/354";"Bº Bolado. 58";"43.474553495729474";"-3.825523170967145"
"oracle.sql.BLOB@5983bd14";"378";"Cruce Aviche";"Puertochico";"356";"2014-04-14 12:20:01";"433613.56";"4814154.65";"http://datos.santander.es/api/datos/paradas_bus/356";"Cruce Aviche";"43.475484098754634";"-3.82214477732206"
"oracle.sql.BLOB@57f299f5";"379";"Aviche 37";"Puertochico";"357";"2014-04-14 12:20:01";"433533";"4813862";"http://datos.santander.es/api/datos/paradas_bus/357";"Aviche. 37";"43.4728420922897";"-3.823105018759077"
"oracle.sql.BLOB@7859d0ee";"380";"Canteros de Transmiera 2";"Puertochico";"358";"2014-04-14 12:20:01";"433375.04";"4813673.83";"http://datos.santander.es/api/datos/paradas_bus/358";"Canteros de Transmiera. 2";"43.47113385877367";"-3.825034789256332"
"oracle.sql.BLOB@50a3f6fc";"381";"Calle Repuente";"Puertochico";"397";"2014-04-14 12:20:01";"432937.87";"4813315.89";"http://datos.santander.es/api/datos/paradas_bus/397";"Calle Repuente S/N";"43.467872091079414";"-3.8303951101488063"
"oracle.sql.BLOB@3cac43c0";"382";"Caleruco";"El Castillo";"359";"2014-04-14 12:20:01";"432894.81";"4812702.14";"http://datos.santander.es/api/datos/paradas_bus/359";"Caleruco";"43.46234238939117";"-3.8308517720765303"
"oracle.sql.BLOB@5194115e";"383";"Corbanera Frente 33";"Corbanera";"361";"2014-04-14 12:20:01";"433039.08";"4814485.59";"http://datos.santander.es/api/datos/paradas_bus/361";"Corbanera Fte. 33";"43.478412431755814";"-3.8292878770539085"
"oracle.sql.BLOB@50005c29";"385";"Corbanera 57";"Puertochico";"360";"2014-04-14 12:20:01";"433067.06";"4814514.91";"http://datos.santander.es/api/datos/paradas_bus/360";"Corbanera. 57";"43.478678917503885";"-3.8289455456407144"
"oracle.sql.BLOB@47a2b0c7";"386";"Corbanera 93";"El Castillo";"363";"2014-04-14 12:20:01";"432835.48";"4814255.15";"http://datos.santander.es/api/datos/paradas_bus/363";"Corbanera. 93";"43.47631942240525";"-3.8317766953408285"
"oracle.sql.BLOB@a03fd8f";"387";"San Pedro del Mar 51";"Estaciones";"126";"2014-04-14 12:20:01";"432950";"4813695";"http://datos.santander.es/api/datos/paradas_bus/126";"San Pedro del Mar.51";"43.47128645658597";"-3.830291851462754"
"oracle.sql.BLOB@bfbbc6c";"388";"Virgen del Mar 18";"Ciriego";"124";"2014-04-14 12:20:01";"429713.7";"4813395";"http://datos.santander.es/api/datos/paradas_bus/124";"Virgen del Mar. 18";"43.468288179800254";"-3.870260889310453"
"oracle.sql.BLOB@3c0f5c99";"389";"Virgen del Mar 37";"Plaza de las Estaciones";"125";"2014-04-14 12:20:01";"429709.9";"4813386";"http://datos.santander.es/api/datos/paradas_bus/125";"Virgen del Mar. 37";"43.46820679279718";"-3.8703067014046373"
"oracle.sql.BLOB@14885f9d";"397";"Barrio El Somo";"Corban";"355";"2014-04-14 12:20:01";"431028";"4813081";"http://datos.santander.es/api/datos/paradas_bus/355";"Bº El Somo";"43.465583537128474";"-3.8539742850720526"
"oracle.sql.BLOB@53d46f3";"398";"Ambulatorio";"Corban";"370";"2014-04-14 12:20:01";"430815.31";"4813139.18";"http://datos.santander.es/api/datos/paradas_bus/370";"Bº el Somo";"43.46608770102398";"-3.8566107466394484"
"oracle.sql.BLOB@79fcfe34";"399";"Barrio El Somo 78";"Corban";"371";"2014-04-14 12:20:01";"430611";"4813193";"http://datos.santander.es/api/datos/paradas_bus/371";"Bº El Somo. 78";"43.46655332696107";"-3.859143108404753"
"oracle.sql.BLOB@5095467d";"402";"Ciriego";"Las Estaciones";"374";"2014-04-14 12:20:01";"429759.1";"4813776";"http://datos.santander.es/api/datos/paradas_bus/374";"Ciriego";"43.471722705202374";"-3.86974882728742"
"oracle.sql.BLOB@7846e1df";"404";"El Mazo 30";"Las Estaciones";"376";"2014-04-14 12:20:01";"430096.77";"4813353.64";"http://datos.santander.es/api/datos/paradas_bus/376";"El Mazo. 30";"43.46795171831621";"-3.8655202373561015"
